Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz
Ubuntu 20.04
2 cpus
us-east-1a

hello!
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
60,5,13572.000000,4513.746099,624.000000,155.414282,3436.000000,2542.141743,6058.000000,2919.379782,9739.000000,3705.118440,
60,6,14594.000000,5314.893860,652.000000,489.501073,3395.000000,2465.682177,9856.000000,100641.985657,10809.000000,8080.540545,
60,7,15082.000000,3088.879896,675.000000,1046.268673,3439.000000,305.312771,7761.000000,6237.811705,11538.000000,4144.592721,
60,8,16723.000000,11813.469960,638.000000,406.241011,3546.000000,1894.226376,8719.000000,11059.494911,13065.000000,8902.107481,
60,9,16922.000000,5579.081936,622.000000,182.001810,3736.000000,2543.178092,8872.000000,3357.737503,13531.000000,5123.646456,
60,10,17150.000000,1377.132003,616.000000,117.859132,3590.000000,500.071562,9132.000000,1001.598474,13700.000000,1266.354179,
80,2,10969.000000,1223.477939,645.000000,18.970688,2985.000000,694.133713,3872.000000,1107.579998,6456.000000,926.215513,
80,3,11760.000000,1166.908168,624.000000,9.574132,3105.000000,42.085057,4578.000000,617.755583,7539.000000,561.816912,
80,4,12546.000000,1387.750206,629.000000,289.294775,3170.000000,685.789048,5371.000000,1206.094993,8276.000000,1064.012009,
80,5,13527.000000,1808.841140,621.000000,100.450017,3322.000000,975.006167,6033.000000,797.635239,9451.000000,1608.322921,
80,6,14463.000000,1739.409248,624.000000,160.666362,3311.000000,636.769611,6767.000000,554.729022,10178.000000,857.175536,
80,7,15067.000000,1858.158418,617.000000,129.422486,3422.000000,603.962000,7452.000000,934.821877,11151.000000,1122.773672,
80,8,15993.000000,1653.891029,615.000000,84.379281,3507.000000,1602.731641,8297.000000,1331.429605,12138.000000,1665.588538,
80,9,16777.000000,1479.242338,612.000000,72.639369,3629.000000,918.664081,9052.000000,1519.459350,13154.000000,1752.615878,
80,10,17533.000000,1394.025093,616.000000,96.240158,3613.000000,706.910523,9686.000000,1171.401802,13974.000000,1788.133613,
100,2,10917.000000,1429.165411,617.000000,18.480206,2958.000000,706.058026,3886.000000,889.443307,6312.000000,698.781820,
100,3,11776.000000,1626.515057,612.000000,336.318602,3086.000000,682.652094,4680.000000,990.165144,7432.000000,1246.759438,
100,4,12735.000000,1643.235762,607.000000,50.789674,3179.000000,897.977599,5516.000000,1023.772702,8197.000000,1331.476262,
100,5,13663.000000,1598.465609,604.000000,229.404148,3272.000000,606.183367,6236.000000,407.425803,9361.000000,1572.699086,
100,6,14601.000000,1917.702951,596.000000,108.971501,3305.000000,907.849555,7058.000000,925.884635,10141.000000,1438.085837,
100,7,15317.000000,1838.365008,597.000000,103.455561,3421.000000,985.545292,7826.000000,784.010045,11011.000000,1073.623380,
100,8,16277.000000,1573.361034,595.000000,90.915307,3479.000000,1131.813366,8655.000000,1082.563960,12016.000000,1884.295853,
100,9,17202.000000,1861.813788,596.000000,107.958265,3623.000000,904.249046,9439.000000,1016.429385,12874.000000,1232.995593,
100,10,17992.000000,1782.135981,597.000000,114.279001,3629.000000,980.697477,10173.000000,1178.836123,13661.000000,1355.210267,
120,2,11264.000000,1320.616412,658.000000,20.026058,2991.000000,669.531383,4140.000000,777.694688,6662.000000,1295.241159,
120,3,12171.000000,1511.783323,627.000000,88.176165,3076.000000,822.839451,4957.000000,680.989752,7688.000000,1380.935725,
120,4,13323.000000,2021.025909,626.000000,127.121257,3177.000000,785.433655,5865.000000,1140.455470,8461.000000,1408.184526,
120,5,14154.000000,1507.612580,623.000000,150.608230,3240.000000,381.990635,6690.000000,1296.619445,9660.000000,1883.864360,
120,6,15132.000000,1824.069771,619.000000,90.179632,3322.000000,1719.828030,7528.000000,1275.452941,10496.000000,2006.201500,
120,7,16168.000000,1812.515467,618.000000,99.395266,3419.000000,671.314422,8404.000000,1364.478861,11361.000000,1289.411453,
120,8,17341.000000,1654.887490,631.000000,89.439840,3444.000000,546.575204,9307.000000,1066.991251,12179.000000,960.553146,
120,9,18143.000000,873.711317,624.000000,44.863203,3610.000000,200.932849,10159.000000,1043.316477,13341.000000,848.569774,
120,10,19161.000000,1060.786109,624.000000,62.721336,3649.000000,350.143482,11032.000000,854.162414,14270.000000,1127.649627,
140,2,11412.000000,1934.340296,647.000000,23.035733,3034.000000,1077.790587,4250.000000,1080.809802,6661.000000,1162.679661,
140,3,12380.000000,1443.259408,646.000000,297.475908,3160.000000,1018.926899,5258.000000,1394.239314,7769.000000,1011.589157,
140,4,13468.000000,1116.613612,633.000000,70.398651,3198.000000,442.193514,6101.000000,775.878082,8571.000000,1101.954976,
140,5,14496.000000,992.192083,634.000000,140.671902,3296.000000,230.878022,6993.000000,549.831200,9626.000000,703.178401,
140,6,15694.000000,1759.488799,645.000000,188.459953,3345.000000,562.075335,7985.000000,983.643207,10678.000000,1666.895450,
140,7,16707.000000,2146.434175,639.000000,149.122228,3480.000000,554.840072,8885.000000,1433.928194,11633.000000,1906.895555,
140,8,17809.000000,2027.434653,655.000000,308.171868,3522.000000,790.304156,9840.000000,1344.421334,12549.000000,1852.434756,
140,9,18842.000000,2056.091308,641.000000,113.194766,3743.000000,1201.336907,10715.000000,1179.068485,13622.000000,1922.934271,
140,10,19955.000000,2331.319696,643.000000,129.682551,3683.000000,775.489064,11717.000000,1819.160071,14382.000000,2345.480223,
160,2,11492.000000,1453.779137,673.000000,64.677724,3054.000000,701.440932,4285.000000,811.084142,6827.000000,1399.338356,
160,3,12635.000000,1697.448368,660.000000,136.925272,3182.000000,883.203600,5302.000000,1017.493482,7902.000000,1292.360189,
160,4,13717.000000,1289.539872,656.000000,154.673837,3252.000000,579.626035,6290.000000,858.198635,8662.000000,1080.389091,
160,5,14801.000000,1474.366180,650.000000,87.387327,3348.000000,518.709873,7234.000000,965.255159,9812.000000,1243.529525,
160,6,15899.000000,1401.454746,650.000000,103.180439,3387.000000,821.491220,8163.000000,567.689322,10700.000000,1405.878421,
160,7,17080.000000,2061.370049,645.000000,125.981896,3525.000000,867.180667,9173.000000,1252.671222,11662.000000,1519.712957,
160,8,18220.000000,1862.616939,644.000000,103.506831,3487.000000,270.913169,10206.000000,1259.383520,12586.000000,1629.350006,
160,9,19322.000000,1991.311576,650.000000,138.466927,3713.000000,928.305651,11307.000000,2633.652649,13608.000000,1645.596283,
160,10,20014.000000,2064.777165,638.000000,151.282858,3628.000000,1021.783320,11923.000000,1531.530885,14234.000000,1783.612509,
180,2,11665.000000,1877.924681,636.000000,23.518971,3132.000000,1576.635610,4466.000000,735.430212,6792.000000,1088.408597,
180,3,12896.000000,1721.068653,635.000000,272.425030,3136.000000,665.521671,5586.000000,1152.599573,7958.000000,1461.996983,
180,4,14002.000000,571.993219,627.000000,109.506767,3204.000000,509.242045,6591.000000,55.593525,8688.000000,546.132233,
180,5,15191.000000,996.733697,621.000000,97.191461,3309.000000,33.268589,7615.000000,610.483189,9822.000000,977.391799,
180,6,16445.000000,1982.779285,618.000000,57.845717,3289.000000,70.469156,8659.000000,1039.563105,10678.000000,1682.068272,
180,7,17471.000000,1990.627108,617.000000,93.787403,3520.000000,1194.012794,9685.000000,1363.091161,11633.000000,1480.629248,
180,8,18596.000000,1239.557926,619.000000,16.891300,3453.000000,402.562201,10766.000000,1388.687895,12418.000000,658.305917,
180,9,19723.000000,1836.314100,613.000000,58.300720,3624.000000,721.710959,11724.000000,1405.669098,13481.000000,1573.638983,
180,10,20927.000000,2176.724726,618.000000,95.452119,3612.000000,433.857713,12752.000000,1480.519859,14429.000000,1922.094000,
200,2,11972.000000,2995.662611,669.000000,27.288184,3023.000000,682.325880,4556.000000,461.758195,6913.000000,1268.563190,
200,3,12858.000000,1158.086681,647.000000,279.801671,3119.000000,790.008332,5686.000000,1237.399847,7887.000000,1085.701482,
200,4,14156.000000,1349.357430,652.000000,244.157451,3232.000000,995.565186,6782.000000,1102.601434,8750.000000,1434.705879,
