hello! These are the shared franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
40,10,33185.000000,1379.807582,1761.000000,155.787715,16900.000000,892.394967,44885.000000,1861.778969,42140.000000,1684.879691,
60,2,23116.000000,4467.099619,1890.000000,382.266627,15513.000000,1170.413701,20803.000000,1818.267677,27967.000000,4430.577645,
60,3,24668.000000,2957.501317,1855.000000,601.380563,15769.000000,1851.422208,23940.000000,2591.199949,29913.000000,3713.085593,
60,4,25619.000000,2082.059483,1793.000000,173.484068,15906.000000,1999.857432,26966.000000,1650.701757,31360.000000,1835.856577,
60,5,27047.000000,2515.316280,1786.000000,142.084957,16153.000000,1955.169722,29981.000000,1666.914953,33287.000000,1600.205642,
60,6,28478.000000,2372.663041,1798.000000,225.837980,16251.000000,1380.572863,33204.000000,2261.360251,35027.000000,2047.186979,
60,7,29857.000000,1980.634177,1777.000000,182.060773,16476.000000,1296.303255,36116.000000,1615.264577,37074.000000,4682.057234,
60,8,31450.000000,2712.259724,1786.000000,166.888846,16859.000000,4401.899299,39824.000000,7160.654387,38940.000000,4122.124826,
60,9,32465.000000,1750.934031,1772.000000,128.147981,16726.000000,972.943345,42275.000000,2061.067003,40423.000000,1838.380629,
60,10,33938.000000,1745.140110,1772.000000,113.312096,16949.000000,1289.120185,45459.000000,1754.898679,42210.000000,2432.076708,
80,2,22587.000000,1490.021675,1896.000000,222.548267,15418.000000,1358.061032,20653.000000,1282.795922,27557.000000,1702.344299,
80,3,24295.000000,1296.409629,1826.000000,179.142541,15555.000000,1095.515185,23740.000000,1175.793994,29415.000000,1510.477914,
80,4,25529.000000,1452.910133,1816.000000,186.856279,15806.000000,1297.097097,27230.000000,4291.289418,31480.000000,1973.725253,
80,5,27219.000000,2053.638913,1812.000000,188.944188,16050.000000,1052.826363,30413.000000,3268.178337,33469.000000,4848.145202,
80,6,28473.000000,1457.000796,1785.000000,104.481927,16097.000000,1117.790657,33333.000000,1335.272851,34775.000000,1854.463960,
80,7,30312.000000,4848.722442,1798.000000,141.608863,16482.000000,1691.563811,36887.000000,4903.608128,36950.000000,2540.734379,
80,8,31550.000000,1556.653436,1799.000000,227.115466,16581.000000,1141.048790,39781.000000,1437.571441,38433.000000,1543.624612,
80,9,33318.000000,3618.424639,1807.000000,164.895309,17100.000000,3898.274411,43263.000000,2284.530567,40931.000000,4818.773591,
80,10,34512.000000,1964.091944,1785.000000,156.426193,16946.000000,1125.104720,46433.000000,2826.939796,42449.000000,3160.367118,
100,2,22977.000000,3865.874423,1861.000000,245.768448,15486.000000,1288.585110,20951.000000,1931.808803,27749.000000,2860.319756,
100,3,25058.000000,2441.061271,1846.000000,437.968424,16001.000000,4089.878363,24493.000000,4495.041795,29931.000000,2196.347202,
100,4,25725.000000,1423.781289,1798.000000,366.650477,15747.000000,827.315905,27437.000000,3836.185014,31538.000000,2686.257104,
100,5,27705.000000,2582.220011,1802.000000,314.403065,16331.000000,2063.699231,30851.000000,4423.110606,33586.000000,2403.070660,
100,6,29101.000000,2426.141142,1769.000000,164.372796,16362.000000,1683.734617,33822.000000,2001.317121,35079.000000,1865.977450,
100,7,30571.000000,1882.775895,1790.000000,289.615265,16437.000000,1168.298073,37126.000000,4129.957708,37139.000000,5143.242557,
100,8,32235.000000,3690.382287,1780.000000,261.879816,16726.000000,2377.637754,40498.000000,5271.275964,38604.000000,2327.190379,
100,9,33751.000000,2793.739857,1772.000000,140.728114,16923.000000,1879.808078,43553.000000,4037.207501,40521.000000,4460.460902,
100,10,35629.000000,4110.009791,1787.000000,403.222081,17628.000000,6590.440057,47111.000000,2777.415200,42607.000000,3500.546250,
120,2,23786.000000,6061.274652,1916.000000,701.610546,15712.000000,2105.556594,21387.000000,2135.059178,28379.000000,4290.699338,
120,3,25086.000000,1431.865116,1817.000000,186.796590,15758.000000,5039.094274,24319.000000,1669.833880,29831.000000,1859.751243,
120,4,26395.000000,1372.825408,1787.000000,106.678644,15966.000000,3291.578242,27752.000000,1774.011309,31778.000000,1709.095005,
120,5,28149.000000,2199.163173,1820.000000,264.480931,16160.000000,1580.926965,31135.000000,2432.273830,33513.000000,2265.564952,
120,6,29576.000000,1375.188022,1794.000000,176.039041,16224.000000,1375.411079,34334.000000,1771.160056,35076.000000,1409.666546,
120,7,31359.000000,1880.193634,1791.000000,147.977106,16357.000000,1089.657192,37519.000000,1623.127375,37076.000000,1935.784384,
120,8,32792.000000,1311.325404,1784.000000,128.342343,16564.000000,1399.698079,40843.000000,1394.565506,38741.000000,1643.945327,
120,9,34581.000000,2087.092279,1788.000000,121.617063,16739.000000,957.521976,44200.000000,3735.949726,40742.000000,3096.331027,
120,10,36196.000000,1532.759190,1782.000000,149.936016,16891.000000,735.601803,47443.000000,1739.632868,42548.000000,2173.011423,
140,2,23219.000000,2290.815988,1916.000000,510.580677,15514.000000,2535.935891,21211.000000,2002.596640,27995.000000,4454.165360,
140,3,25200.000000,1673.051864,1837.000000,88.931558,15699.000000,1488.101871,24583.000000,3451.239976,29848.000000,2702.121217,
140,4,26456.000000,1138.611071,1826.000000,206.628200,15805.000000,1258.764779,27927.000000,1339.243039,31645.000000,1471.200560,
140,5,28247.000000,1536.209176,1818.000000,234.236524,16046.000000,1416.101342,31221.000000,1478.017697,33344.000000,1591.933379,
140,6,30059.000000,1865.963993,1829.000000,206.556646,16184.000000,1399.976143,34838.000000,2345.254929,35347.000000,2991.834753,
140,7,31713.000000,2480.273935,1829.000000,227.375852,16344.000000,1318.639412,38136.000000,2829.796207,37145.000000,2984.973115,
140,8,33230.000000,1349.979906,1811.000000,127.208809,16518.000000,1412.556504,41532.000000,1834.473963,38677.000000,1381.520937,
140,9,35263.000000,2467.461491,1821.000000,184.146290,17248.000000,5845.320122,45535.000000,5651.003441,41456.000000,6129.206340,
140,10,36973.000000,4586.475602,1809.000000,173.919269,17161.000000,2101.732243,48733.000000,2927.346529,42878.000000,5506.897126,
160,2,23133.000000,1140.157635,1906.000000,341.812231,15388.000000,786.100004,21214.000000,1452.852773,27864.000000,1339.048964,
160,3,24904.000000,1303.050944,1832.000000,249.252472,15747.000000,2405.173525,24542.000000,1379.105921,29752.000000,1339.840305,
160,4,26807.000000,1905.300150,1825.000000,223.925753,15976.000000,3979.808548,28166.000000,1362.947471,31900.000000,1777.178958,
160,5,28304.000000,1154.318029,1809.000000,217.804821,15863.000000,796.057779,31381.000000,1674.108762,33288.000000,1952.063734,
160,6,30198.000000,1400.235166,1815.000000,117.134969,16172.000000,1409.736194,34933.000000,1372.354928,35125.000000,2678.588262,
160,7,32108.000000,3347.754466,1813.000000,169.955485,16458.000000,1620.064775,38358.000000,1258.133084,37160.000000,1834.630722,
160,8,33757.000000,1997.324317,1811.000000,151.331966,16547.000000,1136.328750,42098.000000,3714.077092,38796.000000,1990.704223,
160,9,35988.000000,3839.915019,1820.000000,188.512161,17077.000000,2045.369223,45842.000000,4960.787457,41488.000000,5256.377686,
160,10,37480.000000,3808.842816,1807.000000,117.876049,17153.000000,1764.531494,49070.000000,1770.285837,42771.000000,1934.693541,
180,2,23801.000000,4463.330398,1911.000000,210.853210,15481.000000,1099.359846,21687.000000,1957.835039,28194.000000,1991.547085,
180,3,25480.000000,1298.856340,1832.000000,211.900316,15768.000000,975.419997,24999.000000,1574.363017,30218.000000,4319.956857,
180,4,27392.000000,2403.918199,1819.000000,214.695841,16149.000000,2390.372293,28941.000000,4912.493499,32428.000000,6885.072971,
180,5,29344.000000,5957.722027,1812.000000,318.872271,16205.000000,1300.007859,32137.000000,2087.076226,33803.000000,1622.820200,
180,6,31199.000000,3690.560367,1802.000000,277.823413,16345.000000,1898.257660,35650.000000,2116.902269,35500.000000,1741.522963,
180,7,32573.000000,1656.150738,1783.000000,138.197297,16439.000000,1276.140275,38860.000000,1773.701735,37329.000000,2534.435029,
180,8,35022.000000,5632.507484,1797.000000,146.595665,16898.000000,2387.848187,42724.000000,2273.534534,39329.000000,2741.329464,
180,9,36157.000000,1337.172860,1797.000000,96.246444,16824.000000,1062.985454,45859.000000,1716.255169,40786.000000,1587.882639,
180,10,38173.000000,1790.967793,1781.000000,143.510714,17083.000000,1495.229283,49543.000000,1849.348288,42666.000000,2005.219862,
200,2,23460.000000,1167.327250,1905.000000,175.231164,15355.000000,1119.550589,21425.000000,1200.709157,27977.000000,1361.692726,
200,3,25605.000000,1511.827234,1851.000000,284.266004,15622.000000,1215.264968,25042.000000,1728.997740,30076.000000,2036.013842,
200,4,27796.000000,2848.065767,1842.000000,235.900894,16076.000000,3979.792537,29108.000000,2791.273339,32536.000000,5489.854477,
200,5,29645.000000,3454.141030,1842.000000,353.501573,16305.000000,2342.346295,32681.000000,3406.564000,34129.000000,2362.057594,
200,6,31304.000000,1630.663157,1809.000000,143.385756,16202.000000,1121.508652,35895.000000,1390.707019,35611.000000,1733.868932,
200,7,33245.000000,1886.170063,1829.000000,172.344240,16354.000000,1081.799561,39462.000000,1590.031262,37441.000000,1801.832852,
200,8,35062.000000,1493.831613,1799.000000,134.105462,16681.000000,1620.845982,43157.000000,1653.499296,39288.000000,2264.776934,
200,9,37049.000000,1928.696903,1809.000000,115.535912,16859.000000,1238.442291,46742.000000,2399.837536,41241.000000,2297.975430,
200,10,38856.000000,1568.856066,1814.000000,108.776431,16951.000000,1228.428935,50403.000000,1965.200240,42770.000000,1552.307645,
220,2,23477.000000,1027.006183,1938.000000,475.707792,15316.000000,768.894376,21464.000000,1096.632499,27987.000000,1403.254378,
220,3,25846.000000,5824.287507,1849.000000,168.031798,15685.000000,2281.960963,25344.000000,3183.999844,30113.000000,4614.978860,
220,4,27849.000000,1387.864733,1821.000000,150.723704,15962.000000,1139.925402,29112.000000,1558.280204,32453.000000,4961.763086,
220,5,30732.000000,17118.102382,1832.000000,164.386268,16679.000000,4099.923325,33378.000000,2955.740968,34352.000000,3121.983766,
220,6,31862.000000,3179.141947,1842.000000,595.534371,16349.000000,1760.445438,36486.000000,1770.313235,35633.000000,2262.859823,
220,7,33650.000000,1696.461496,1821.000000,180.991655,16414.000000,733.239137,39981.000000,1566.579204,37619.000000,2664.658374,
220,8,35822.000000,2255.012796,1850.000000,184.456122,16909.000000,3540.389058,44153.000000,3776.500807,39434.000000,2185.109984,
220,9,37555.000000,1677.872361,1812.000000,122.719167,16877.000000,1131.408454,47445.000000,2596.200415,41137.000000,1787.585291,
220,10,39545.000000,1535.661388,1827.000000,143.846342,17106.000000,1605.350040,51208.000000,2436.701065,42926.000000,2562.093102,
240,2,24119.000000,6143.307386,1939.000000,442.147538,15530.000000,1258.047689,21808.000000,886.253421,28344.000000,1504.580489,
240,3,26508.000000,4749.212618,1866.000000,284.929595,15831.000000,1428.134370,25679.000000,1414.715518,30675.000000,4833.224019,
240,4,28217.000000,4709.834204,1843.000000,140.649237,15841.000000,1037.209929,29498.000000,3270.288414,32400.000000,2999.769099,
240,5,30639.000000,4767.887779,1855.000000,368.154101,16414.000000,1933.852127,33664.000000,6148.800259,35781.000000,29663.528564,
240,6,32473.000000,6540.782013,1838.000000,153.521005,16451.000000,2443.085900,36960.000000,2120.006603,35971.000000,2513.459619,
240,7,35305.000000,5927.867265,2497.000000,19412.982227,16994.000000,3129.757180,41723.000000,6763.538453,38881.000000,6639.533355,
240,8,36624.000000,2256.113682,1836.000000,188.186320,16958.000000,4252.288546,44633.000000,2781.885263,39569.000000,1928.243268,
240,9,39340.000000,6071.847799,1845.000000,253.336725,17314.000000,2804.509597,48688.000000,4581.124168,42275.000000,6617.571786,
240,10,41478.000000,5023.870103,1857.000000,306.143097,17609.000000,2953.983597,53091.000000,8163.264467,44907.000000,10623.292409,
260,2,24267.000000,4162.977180,1935.000000,511.558139,15646.000000,3163.594465,22125.000000,1836.866408,28632.000000,6049.349745,
260,3,26959.000000,1926.018294,1906.000000,903.408387,16209.000000,2363.389647,26520.000000,5261.379298,30935.000000,4043.731466,
260,4,28545.000000,2354.047556,1851.000000,329.736322,16094.000000,1574.270778,30040.000000,4902.244268,32519.000000,3200.518052,
260,5,30744.000000,2485.397268,1845.000000,293.594632,16360.000000,3352.575435,33777.000000,4063.164946,34319.000000,2888.616684,
260,6,32484.000000,1828.526138,1824.000000,112.733194,16248.000000,1194.660740,37184.000000,1657.737128,35673.000000,1596.316067,
260,7,34674.000000,1642.552818,1820.000000,116.748315,16423.000000,879.871006,40872.000000,1531.569000,37616.000000,1510.718219,
260,8,36732.000000,1397.985069,1816.000000,111.568652,16663.000000,905.734448,44778.000000,1698.458228,39344.000000,1477.649559,
260,9,39137.000000,2863.528874,1833.000000,511.803973,17086.000000,2281.760239,48784.000000,3809.303419,41455.000000,4093.789407,
260,10,41121.000000,2318.486636,1814.000000,112.196065,17070.000000,1118.714122,52505.000000,3197.982771,43251.000000,4704.519740,
280,2,24187.000000,1544.883263,1945.000000,342.501295,15546.000000,1316.934639,22119.000000,1172.084500,28441.000000,1471.397484,
280,3,26532.000000,2452.242505,1879.000000,307.881006,15808.000000,1535.782439,26088.000000,2558.560399,30583.000000,3117.057917,
280,4,28681.000000,2473.380573,1851.000000,252.956941,16016.000000,1399.935192,29934.000000,1786.380100,32496.000000,3073.961256,
280,5,30781.000000,1508.972117,1847.000000,173.249450,16098.000000,816.414419,33592.000000,1287.019682,33937.000000,1214.979309,
280,6,32987.000000,2380.465862,1851.000000,207.106671,16174.000000,722.752224,37527.000000,1418.488306,35724.000000,1798.488313,
280,7,35698.000000,6589.810651,1846.000000,177.323509,16612.000000,1772.715727,41580.000000,2011.733853,37939.000000,3881.064670,
280,8,37479.000000,2000.524743,1845.000000,146.018687,16655.000000,1629.076430,45501.000000,2464.104733,39535.000000,2818.497128,
280,9,40089.000000,4569.381108,1838.000000,205.350841,17033.000000,2518.460868,49395.000000,4100.694386,41535.000000,1917.859811,
280,10,41756.000000,1755.497225,1831.000000,117.953792,16847.000000,918.145956,53123.000000,2024.283045,42966.000000,1638.128533,
300,2,24453.000000,2029.454479,1975.000000,288.186374,15387.000000,1267.731586,22303.000000,2399.515405,28475.000000,2369.840881,
300,3,26655.000000,1186.649385,1868.000000,185.437831,15631.000000,986.392190,26183.000000,1453.446073,30252.000000,1282.348422,
300,4,29674.000000,4073.750471,1889.000000,354.300885,16414.000000,2989.332976,30989.000000,3308.527134,33272.000000,6003.007620,
300,5,31861.000000,1821.570843,1887.000000,244.086192,16514.000000,1759.862270,34891.000000,3056.013100,35184.000000,5269.177894,
300,6,33891.000000,3339.577828,1866.000000,274.656540,16315.000000,1700.258042,38434.000000,2510.818156,36114.000000,1920.013679,
300,7,36246.000000,4512.371213,1851.000000,154.375364,16507.000000,1803.677592,42341.000000,2296.643360,38127.000000,2896.868521,
300,8,38477.000000,3596.174901,1883.000000,507.657704,16883.000000,2319.296673,46799.000000,4711.568142,40204.000000,5488.185906,
300,9,40419.000000,1566.938892,1841.000000,99.751020,16798.000000,803.723925,50089.000000,2090.285007,41652.000000,1572.459314,
300,10,42996.000000,4554.575120,1851.000000,155.183446,17056.000000,1137.105639,54559.000000,6067.949940,43706.000000,2510.216276,
320,2,24714.000000,4707.803030,1966.000000,292.458932,15477.000000,969.359641,22384.000000,1270.258392,28710.000000,3979.651538,
320,3,26864.000000,1486.191014,1896.000000,264.870970,15730.000000,1229.261398,26581.000000,4807.535549,30484.000000,1849.561194,
320,4,29267.000000,2181.977480,1878.000000,203.525252,15878.000000,1060.036523,30700.000000,3967.146347,32713.000000,4901.405880,
320,5,31986.000000,5422.730839,1873.000000,187.301911,16241.000000,2248.519611,34639.000000,2331.640913,34728.000000,6752.247402,
320,6,34148.000000,2306.254272,1874.000000,593.345409,16405.000000,2108.779118,38724.000000,2308.837625,36255.000000,2360.196518,
320,7,36226.000000,2314.003568,1860.000000,142.282104,16386.000000,1052.464494,42436.000000,1750.571005,37826.000000,1574.906766,
320,8,38602.000000,1622.973909,1850.000000,131.111285,16648.000000,1475.219387,46574.000000,1895.093588,39686.000000,1773.715436,
320,9,41463.000000,4054.598279,1889.000000,613.674861,17158.000000,2610.932035,50970.000000,4913.984165,42035.000000,2233.329289,
320,10,43912.000000,3794.605795,1863.000000,316.362876,17426.000000,3818.703864,55245.000000,5657.820539,44127.000000,3833.924896,
340,2,24573.000000,1336.669904,1941.000000,387.866991,15462.000000,896.870288,22399.000000,1234.366827,28427.000000,1205.687790,
340,3,27173.000000,2436.920890,1883.000000,479.599538,15733.000000,1347.047998,26664.000000,5257.402057,30539.000000,3060.619282,
340,4,29547.000000,3300.563645,1877.000000,358.200082,16024.000000,1720.543622,30827.000000,1823.532510,32572.000000,2047.520695,
340,5,31915.000000,2748.279783,1851.000000,250.035627,16255.000000,1586.695677,34862.000000,2773.174093,34450.000000,2918.531783,
340,6,34198.000000,2463.552765,1836.000000,147.230778,16239.000000,892.078291,38761.000000,1730.341032,35872.000000,1416.019419,
340,7,36750.000000,3202.226487,1845.000000,143.376396,16628.000000,3115.547992,42974.000000,3672.045619,38018.000000,2116.383403,
340,8,39291.000000,3471.405322,1828.000000,103.641063,16788.000000,1624.770321,47140.000000,2894.855143,39780.000000,2433.246718,
340,9,41478.000000,3490.988338,1829.000000,207.014847,16849.000000,1372.780408,51128.000000,4052.721675,41526.000000,1696.077061,
340,10,44793.000000,7729.531900,1845.000000,273.690922,17545.000000,3723.081003,55852.000000,4889.789508,43877.000000,4203.298111,
360,2,24875.000000,1686.242796,1972.000000,475.241455,15400.000000,964.632929,22721.000000,1345.947299,28649.000000,1520.580204,
360,3,27465.000000,1685.178211,1906.000000,227.380325,15700.000000,1126.580736,26869.000000,1644.576866,30598.000000,1494.797114,
360,4,30046.000000,2286.469450,1884.000000,254.520683,15862.000000,1178.557907,31221.000000,2216.619833,32840.000000,3370.821115,
360,5,32551.000000,2592.537128,1878.000000,148.123989,16155.000000,1266.784456,35342.000000,1832.835590,34515.000000,2109.508865,
360,6,35052.000000,2103.641096,1869.000000,202.809827,16275.000000,1191.903867,39622.000000,1884.899671,36442.000000,4357.649174,
360,7,37549.000000,1920.514230,1864.000000,157.432131,16653.000000,4200.569461,43845.000000,5573.647339,38235.000000,2099.571199,
360,8,40758.000000,7251.962605,1869.000000,630.757058,16748.000000,1931.829455,48058.000000,2535.443575,40144.000000,2026.558126,
360,9,43004.000000,4806.331412,1857.000000,97.600748,17140.000000,2654.432110,52586.000000,6811.650365,42613.000000,4954.930465,
360,10,45542.000000,6758.420398,1878.000000,408.844786,17119.000000,2670.094486,56410.000000,4551.700176,43953.000000,4109.152275,
380,2,24928.000000,1577.802017,1981.000000,508.633367,15451.000000,1318.745465,22767.000000,1516.880913,28756.000000,1405.426151,
380,3,27541.000000,1699.908466,1907.000000,142.518806,15674.000000,1046.716138,26959.000000,1708.727607,30534.000000,1324.079365,
380,4,30264.000000,2471.626299,1890.000000,205.677155,15873.000000,938.389550,31648.000000,4916.517207,32671.000000,1715.974805,
380,5,33125.000000,2706.143343,1899.000000,334.014357,16298.000000,1210.428208,35962.000000,2561.041639,35488.000000,9545.513947,
380,6,36384.000000,3001.746922,1892.000000,236.053041,16825.000000,1744.413282,40559.000000,2098.514199,37256.000000,2525.715983,
380,7,38636.000000,3915.054410,1878.000000,136.723930,16932.000000,3825.065580,44967.000000,6541.334041,39093.000000,5044.351978,
380,8,41065.000000,4045.303853,1880.000000,244.067634,16949.000000,2625.166652,49069.000000,9418.559882,40760.000000,5421.905126,
